Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x16_P2.54mm_Vertical,1,Feather-1,C7430372
J2,PinHeader_1x12_P2.54mm_Vertical,1,Feather-2,C7430368
J3,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,1,FPC 8P Connector,C2856797
J4,JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical,1,Conn_01x08,C7430450

